id,name,cuisine_type,country,city,address,rating,business_status,latitude,longitude,price_level,website,created_at,updated_at,location
ChIJh8IKCiwbdkgRiefHU7gpZfU,Pied a Terre,,UK,London,"34 Charlotte St., London W1T 2NH, UK",4.4,OPERATIONAL,51.5190723,-0.1351421,4,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000009208E819564CC1BF37610CF670C24940
ChIJhfAKn9QEdkgRBBKDiFubnrA,Yauatcha Soho,,UK,London,"15-17 Broadwick St, London W1F 0DL, UK",4.2,OPERATIONAL,51.513587,-0.1351682,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000A5C63A0B314DC1BF4C530438BDC14940
ChIJHw9kNLYCdkgRQPAAaFm0O5M,Burger & Lobster - West India Quay,Seafood,UK,London,"Hertsmere Rd, London",4.6,OPERATIONAL,51.507496,-0.0223611,2,https://www.burgerandlobster.com/locations/london/west-india-quay/?utm_source=google&utm_medium=local&utm_campaign=gmblisting&y_source=1_NDgxMDI3NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000009972CF04D4E596BFE86C01A1F5C04940
ChIJhwEleEsDdkgRnVjBTfuoKAY,Thai Square Minories,Thai,UK,London,"136-138 Minories, London",4.4,OPERATIONAL,51.512367,-0.0756234,2,https://thaisq.com/restaurants/minories/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000009FF4CF1D0E5CB3BF5A46EA3D95C14940
ChIJIWTiZiEDdkgR2BGTzzgcnAc,Legare,Italian,UK,London,"Cardamom Bldg, 31 Shad Thames, Tower Bridge, London",4.7,OPERATIONAL,51.503567,-0.0739796,-1,http://www.legarelondon.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000A63792BA53F0B2BF232C2AE274C04940
ChIJiYjWsdUEdkgRF9gDUUHqQl4,NOPI,,UK,London,"21-22 Warwick St, London W1F 9LD, UK",4.5,OPERATIONAL,51.5117272,-0.1384399,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000C6127B0D66B8C1BFA13CE24680C14940
ChIJJeCjOsoadkgR_CHH-Y1QEUc,Twist Connubio,Italian,UK,London,"42 Crawford St, London",4.5,OPERATIONAL,51.51938,-0.1622964,3,https://mymenuweb.com/uk/restaurants/629866/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000A81721E120C6C4BF2619390B7BC24940
ChIJJSEekyoFdkgRLGqXPxdTl1k,Goodman - Mayfair,Steakhouse,UK,London,"24-26 Maddox St, London W1S 1QH, UK",4.7,OPERATIONAL,51.513143,-0.1422646,4,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000657330F6B935C2BFEE9579ABAEC14940
ChIJKf7L9tUadkgRJj9iN2E5_EM,Gem Langham Court Hotel,,UK,London,"31-35 Langham St, London W1W 6BU, UK",3.8,OPERATIONAL,51.519209,-0.1412084,,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000080D2F5E91D13C2BFF964C57075C24940
ChIJkQ3E6swDdkgRuFY-iKFPZYU,Caravan Canary Wharf Restaurant,British,UK,London,"Reuters Plaza, London",4.3,OPERATIONAL,51.504135,-0.0198311,2,https://caravanandco.com/pages/canary-wharf,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000C35AC6979A4E94BF6DE2E47E87C04940
ChIJLaauA8wDdkgRGVE0i0rpKRA,Cento Alla Torre,Italian,UK,London,"100 Minories, London",4.6,OPERATIONAL,51.51018,-0.0752836,-1,http://www.centoallatorre.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000058D6EC37C945B3BF618907944DC14940
